,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
Adult Training Centre - Aspire - Bramley Fulfilling Lives,"99,469","71,388","28,081","47,339","103,812","76,668","27,144","47,145","94,552","69,554","24,998","43,132","97,125","68,820","28,305","44,648","95,690","69,065","26,625","46,442","94,200","60,142","34,058","41,831","78,686","54,849","23,837","30,981","95,889","68,511","27,378","31,836","97,120","72,458","24,662","26,814","90,712","65,932","24,780","22,629","80,757","58,155","22,602","18,357","85,077","61,819","23,258","17,624","88,271","60,390","27,881","17,452","79,112","57,206","21,906","16,382","91,580","61,572","30,009","18,060",86300.38848,69261.1,17039.28848,15275.16876
ARCHIVE - BITMO - Landlords Supply - 90-92 Windmill Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - 57 Fountain Street,"11,059","11,059",0,"5,367",748,541,207,339.78319,199,199,0,91.54398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Amberton Court Home for Older People,"162,678","119,061","43,617","77,499","189,142","143,302","45,840","85,867","182,601","135,848","46,753","83,320","168,842","135,146","33,696","76,859","30,395","27,613","2,782","14,934","3,385","3,385",0,"1,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Brooksbank Home for Older People,"52,805","52,805",0,"25,627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Broom Court,"47,649","40,959","6,690","22,902","48,894","48,894",0,"22,103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Butterfield Manor Home for Older People,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Delph Manor Hostel,"13,084","13,084",0,"6,350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Fairview Home for Older People,"126,741","90,792","35,949","60,313","159,813","116,461","43,352","72,589","167,325","115,432","51,893","76,218","91,399","91,261",138,"40,723",265,265,0,130.9789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Grange Court Home for Older People,"121,553","87,109","34,444","57,845","113,885","97,359","16,526","51,613","4,348","4,348",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHIVE - Care Home - Hemingway House Home for Older People,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
