,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NB: 2025/26 are interim figures,,,
,2010-11,,,,2011-12,,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,,2018-19,,,,2019-20,,,,2020-21,,,,2021-22,,,,2022-23,,,,2023-24,,,,2024-25,,,,2025-26,,,
Site,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e,kWh,Q1-3,Q4,kg CO2e
"Independent Living Project - Aspire - Flat 6, 7 Joseph Street",0,0,0,0,"1,470",0,"1,470",272,"9,600","4,551","5,049","1,772","10,371","6,485","3,886","1,912","5,584","2,963","2,621","1,031","5,686","3,332","2,354","1,048","5,591","3,095","2,496","1,029","5,591","2,735","2,856","1,029","6,363","3,911","2,453","1,170","5,576","3,334","2,243","1,024","5,339","2,756","2,583",980,"5,935","3,550","2,385","1,086","5,426","2,634","2,792",992,"6,573","3,835","2,739","1,202","6,481","3,585","2,895","1,185",6224.86,3340.72,2884.14,1138.900386
Independent Living Project - Aspire - Flat 9 Holmsley Green,0,0,0,0,0,0,0,0,1274.13,0,1274.13,234.4908852,3951.1,2016.04,1935.06,728.9658608,3786.83,1771.99,2014.84,699.4075496,"3,034","1,726","1,308",559.0875169,"2,896","1,653","1,243",533.0791286,"2,846","1,210","1,637",523.8373764,"3,259","2,049","1,209",599,"4,572","2,922","1,650",840,"4,189","2,175","2,014",769,"5,245","3,328","1,917",960,"3,475","1,780","1,695",635,"4,163","2,524","1,639",761.4253518,"4,373","2,276","2,097",799.9877442,6467.42,4107.69,2359.73,1183.279163
Independent Living Project - Aspire - Outreach Supported Living - 47 All Saints Circle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.69,0,396.69,72.9393903,6193.37,3120.65,3072.72,1136.593311,"8,054",5224.32,"2,830",1473.463699,"6,221","3,377","2,845","1,137","6,473","3,700","2,773","1,184","3,642","3,631",11,666,2484.88,79.55,2405.33,454.6336448
Independent Living Project - Aspire - Supported Living - 25 Wesley Street,21979,12291,9688,4065.45563,19500.82,10864,8636.82,3609.139512,"20,563","11,917","8,646",3798.445808,"23,551","15,452","8,099",4341.819652,"13,141","5,363","7,777",2426.627453,"17,043","9,809","7,234","3,140","15,658","9,016","6,642","2,882","5,916","3,480","2,436","1,089","38,296","29,344","8,952","7,041","9,625","3,017","6,608","1,769","10,677","5,692","4,985","1,960","25,437","6,348","19,089",4647.207795,"14,880","8,076",6804.16,2718.826913,"14,625","9,079",5545.84,2675.134881,"12,549",7384.53,5164.11,2295.456103,12119.18,6670.24,5448.94,2217.325173
Independent Living Project - Aspire - Supported Living - 27 Wesley Street,27624,15523,12101,5109.61128,23302.01,12618,10684.01,4312.736952,"23,093","12,677","10,416","4,265","22,363","12,062","10,301","4,125","20,402","11,679","8,723","3,769","19,191","11,047","8,144","3,536","18,122","10,147","7,975","3,336","4,479","1,558","2,921",824,"26,844","18,943","7,901","4,935","18,152","10,980","7,172","3,334","15,298","8,162","7,136","2,808","13,938","9,079","4,859","2,550","13,923","7,107","6,816","2,544","14,026","7,425","6,601","2,566","15,038","8,725","6,314","2,751",14854.69,8003.28,6851.41,2717.814082
Independent Living Project - Beechwood Supported Living,51920,30523,21397,9603.6424,43860.77,26044,17816.77,8117.202652,"55,799","29,231",26568.06,"10,303","69,663","29,561","40,102","12,858","60,726","37,108","23,618","11,220","52,930","34,807","18,123","9,755","52,452","29,579","22,874","9,655","49,996","24,702","25,294","9,202","53,778","31,138","22,641","9,883","19,780","14,371","5,409","3,632","51,796","27,021","24,775","9,506","47,638","31,674","15,964","8,715","33,446","20,384","13,062","6,110","34,273","20,499","13,773","6,269","33,908","18,337","15,571","6,203",32644.39,17368.77,15275.62,5972.617594
Independent Living Project - Flat 1Bewerley Croft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,502","1,160","1,342",461,4868.46,2811.02,"2,057",896.1250935,"2,993","1,627","1,366",551,"6,206","4,353","1,854","1,141","8,148","5,224","2,923","1,496","6,988","3,779","3,209","1,283","6,968","4,652","2,316","1,275","6,620","3,639","2,981","1,210","4,746","2,718","2,028",868,"3,873","2,300","1,573",708,4058.45,2040.68,2017.77,742.534012
Independent Living Project - Flat 12 Bewerley Croft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,403","2,878","2,525",995,"7,285","4,053","3,232","1,341","1,931","1,761",169,356,768,451,316,141,816,271,545,150,784,579,205,144,"1,461",205,"1,256",267,"6,213","1,668","4,544","1,136","6,897","3,815","3,082","1,262","5,640","4,041","1,599","1,032",4911.04,1992.71,2918.33,898.5238784
Independent Living Project - Flat 14 Bewerley Croft,0,0,0,0,0,0,0,0,"5,295","6,779","-1,484",982,"4,675","2,182","2,493",863,"5,124","2,953","2,172",947,"6,064","3,824","2,241","1,118","7,820","4,057","3,764","1,440","5,556","2,723","2,833","1,023","7,214","4,422","2,792","1,326","7,125","3,674","3,452","1,309","5,529","3,094","2,435","1,015","4,562","1,490","3,072",834,"2,842","2,523",319,519,"1,680","1,141",539,307,"1,412",774,638,258,12249.82,9696.28,2553.54,2241.227067
Independent Living Project - Flat 4Bewerley Croft,0,0,0,0,0,0,0,0,"8,090","6,779","1,310","1,497","7,847","4,975","2,872","1,447","6,686","4,313","2,373","1,236","7,134","4,586","2,548","1,315","7,736","5,003","2,733","1,424","7,328","3,988","3,341","1,349","9,282","5,913","3,368","1,706","10,906","7,037","3,869","2,003","10,942","6,197",4745.66,2008.624379,"7,543",4585.1,"2,958",1379.696347,"7,484","4,766","2,718","1,367","5,778","3,199","2,578",1056.815587,"6,139","3,369","2,770","1,123",8382.15,5281.42,3100.73,1533.598164
Independent Living Project - Flat 6Bewerley Croft,0,0,0,0,0,0,0,0,"7,188","6,779",409,"1,331","9,380","4,120","5,260","1,731","9,755","6,392","3,364","1,803","8,241","3,305","4,936","1,518","11,195","6,289","4,906","2,061","9,720","6,175","3,544","1,789","13,651","8,768","4,883","2,509","11,315","6,977","4,338","2,078","12,606","7,178","5,429","2,314","11,017","6,019","4,998","2,015","9,132","5,909","3,222",1668.14281,"9,400","5,183","4,217",1719.35505,"10,171","5,566","4,605","1,861",17693.91,11720.46,5973.45,3237.277774
Independent Living Project - Landlords Supply - Bewerley Croft,0,0,0,0,0,0,0,0,0,0,0,0,950,0,950,176,"7,721","49,075","-41,354",1449.714285,"9,550","7,867","1,683",1760.723565,686,-398,"1,083",126,"9,461","3,976","5,486",1741.330184,"6,343","3,687","2,656","1,166","9,498","5,959","3,539",1744.246562,"8,253","4,532","3,721",1514.926998,"6,394","3,607","2,787","1,169","5,950","3,242","2,708","1,087","5,742","3,198","2,544","1,050","5,991","3,278","2,713","1,096",5022.96,2537.83,2485.13,919.0007616
Independent Living Project - Landlords Supply and Communal Lounge - Spen Croft,0,0,0,0,0,0,0,0,0,0,0,0,"9,641","4,434","5,207","1,779","12,186","6,738","5,448",2251.285164,"13,346","6,955","6,391",2458.773551,"14,880","9,076","5,803","2,739","10,740","5,062","5,677",1976.694976,"12,083","6,997","5,087","2,221","13,058","7,822",5235.81,2398.119935,12008.54,6341.07,5667.47,2203.986346,"17,670","6,963","10,708","3,230","17,621","9,069","8,552","3,220","18,346","10,279","8,067","3,356","16,493","9,049","7,444","3,017",22063.37,15124.62,6938.75,4036.714175
Independent Living Project - Spen Croft - Flat A,0,0,0,0,0,0,0,0,"7,785","3,613","4,172","1,437","13,481","8,963","4,518","2,485","11,148","6,737","4,411","2,060","14,344","8,437","5,907","2,643","16,806","12,343","4,462","3,093","10,639","5,526","5,113","1,958","15,514","10,246","5,268","2,852","13,331","8,619","4,712","2,448","10,836","5,715","5,121","1,989","12,831","7,281","5,550","2,347","12,383","4,747","7,636","2,263","12,199","7,603","4,596","2,231","14,567","7,421","7,146","2,665",10167.49,4878.14,5289.35,1860.24397
Independent Living Project - Spen Croft - Flat B,0,0,0,0,0,0,0,0,"7,709","2,950","4,759","1,422","13,620","8,413","5,208","2,511","11,522","7,404","4,118","2,129","9,730","5,362","4,368","1,793","8,309","5,466","2,843","1,529","8,740","3,491","5,248","1,608","11,137","6,457","4,680","2,047","11,348","6,511","4,837","2,084","3,932","3,738",193,723,"1,598",159,"1,439",292,"8,782","3,901","4,881","1,605","5,230","1,941","3,289",957,"6,392","4,052","2,340","1,169",4306.12,1661.39,2644.73,787.8477152
Independent Living Project - Spen Croft - Flat C,0,0,0,0,"3,380",0,"3,380",626,"15,330","9,995","5,334","2,833","16,401","10,968","5,433","3,023","14,736","8,568","6,168","2,723","14,566","9,925","4,641","2,685","11,945","6,520","5,425","2,199","12,128","5,412","6,716","2,232","14,270","8,257","6,013","2,622","14,551","8,360","6,192","2,673","14,183","7,491","6,692","2,603","5,971","2,800","3,171","1,092","4,672","2,670","2,002",854,"5,136","2,398","2,738",939,"6,491","2,868","3,623","1,187",12081.95,8661.5,3420.45,2210.513572
Independent Living Project - Spen Croft - Flat F,0,0,0,0,0,0,0,0,"4,585","1,802","2,782",846,"5,671","3,819","1,852","1,045","4,663","2,378","2,285",861,"4,558","2,443","2,115",840,"6,639","3,773","2,866","1,222","5,365","3,119","2,246",988,"6,736","4,735","2,001","1,238","4,862","2,790","2,072",893,"4,747","2,505","2,242",871,"6,612","2,753","3,858","1,209","6,579","3,433","3,146","1,202","5,823","3,004","2,818","1,065","5,877","3,221","2,656","1,075",6760.3,3227.07,3533.23,1236.864488
Independent Living Project - Spen Croft - Flat K,0,0,0,0,0,0,0,0,"5,779","2,298","3,481","1,066","5,535","3,264","2,271","1,021","4,867","2,954","1,913",899,"5,024","2,511","2,513",926,"49,065","4,353","44,712","9,035","4,280","2,102","2,178",788,"8,426","3,232","5,193","1,548","4,604","4,433",171,845,628,148,480,115,"6,978","3,187","3,791","1,276","8,501","4,918","3,583","1,553","8,302","5,379","2,922","1,519","8,055","4,757","3,297","1,473",4114.99,2176.73,1938.26,752.8785704
Landlords Supply - Commercial - Gotts Park Golf Club,"250,063","161,571","88,492","46,254","214,345","131,948","82,397","39,667","211,188","140,734","70,453","39,032","227,254","155,038","72,216","41,891","164,844","84,159","80,685","30,450","232,144","156,375","75,769","42,785","178,322","119,861","58,461","32,820","141,489","68,830","72,658","26,042","162,654","94,852","67,803","29,891","179,377","100,915","78,462","32,946","189,321","129,124","60,197","34,768","178,061","115,269","62,792","32,575","150,710","91,033","59,676","27,534","164,286","89,641","74,646","30,051","182,417","108,279","74,138","33,368",163876.36,92605.56,71270.8,29982.81883
Landlords Supply - Commercial - Westminster Buildings - Communal Areas,"208,092","114,945","93,147","38,491","123,533","69,010","54,523","22,863","160,157","78,052","82,106","29,567","217,370","99,725","117,645","40,115","219,654","111,480","108,174","40,574","201,925","102,533","99,392","37,200","164,207","105,377","58,830","30,223","121,045","48,534","72,511","22,277","135,582","82,257","53,325","24,918","135,409","81,586","53,823","24,868","138,899","82,215","56,684","25,499","180,341","99,641","80,699","32,981","168,405","102,617","65,788","30,766","183,829","126,660","57,169","33,626","119,671","60,182","59,489","21,891",15706.12,15706.12,0,2873.591715
Leisure Centre - Dry - Garforth Squash and Leisure Centre,"516,841","301,429","215,412","95,600","349,732","218,302","131,430","64,721","373,550","234,618","138,933","69,023","309,820","185,208","124,613","57,136","347,029","190,066","156,963","64,109","308,730","172,272","136,458","56,883","305,458","177,191","128,267","56,225","271,937","131,630","140,307","50,052","296,275","169,182","127,094","54,446","328,220","189,403","138,817","60,282","258,666","132,776","125,890","47,472","337,724","200,565","137,159","61,772","329,116","178,873","150,243","60,135","375,954","230,192","145,761","68,769","348,034","192,388","155,646","63,665",319960.95,170824.88,149136.07,58540.05541
Leisure Centre - Dry - Middleton Leisure Centre,"1,054,913","733,478","321,435","195,127","535,982","502,345","33,637","99,149","92,043","171,604","-79,561","17,140","363,852","159,030","204,822","67,154","530,658","317,131","213,527","98,046","439,339","278,583","160,756","80,963","506,063","282,794","223,269","93,151","471,735","217,304","254,431","86,825","597,946","366,942","231,004","109,894","573,500","339,093","234,407","105,327","563,134","295,405","267,729","103,353","694,584","392,959","301,626","127,033","571,966","338,205","233,761","104,498","590,076","346,409","243,667","107,935","586,910","355,435","231,475","107,360",475902.6,284075.06,191827.54,87071.1397
Leisure Centre - Wet - Aireborough Leisure Centre,"2,528,773","1,704,749","824,024","467,747","2,463,805","1,649,020","814,785","455,926","2,367,912","1,553,764","814,148","437,608","2,231,076","1,560,667","670,409","411,233","2,135,801","1,353,575","782,227","394,656","2,253,828","1,495,702","758,126","415,375","2,195,803","1,534,517","661,286","404,131","842,248","711,747","130,501","155,085","432,410","156,303","276,107","79,422","460,239","315,707","144,532","84,510","2,674,685","2,198,262","476,423","491,456","1,797,540","1,135,979","661,562","328,827","1,494,921","931,374","563,547","273,102","1,052,846","355,686","697,160","192,576","1,785,696","1,158,060","627,636","326,642",1399247.98,803997.31,595250.67,256006.4104
Leisure Centre - Wet - Fearnville Sports Centre,"1,984,184","1,337,047","647,137","367,015","1,864,923","1,332,781","532,142","345,083","1,793,553","1,179,659","613,894","331,466","1,759,355","1,217,782","541,573","324,297","1,686,935","1,152,625","534,309","311,758","1,504,289","1,051,189","453,100","277,261","1,416,396","987,739","428,658","260,684","1,455,284","874,180","581,104","267,892","1,590,363","897,563","692,801","292,251","1,627,535","1,151,216","476,319","298,840","696,549","416,874","279,675","127,876","1,186,466","743,664","442,802","217,039","1,241,785","838,048","403,737","226,832","1,289,194","857,027","432,167","235,818","1,298,404","875,236","423,167","237,503",1253789.79,800717.32,453072.47,229393.38
Leisure Centre - Wet - John Charles Centre for Sport ,"5,595,405","3,769,207","1,826,198","1,034,982","7,750,560","4,939,729","2,810,831","1,434,296","8,201,695","5,710,634","2,491,061","1,516,121","7,295,449","4,898,001","2,397,448","1,344,891","8,281,269","5,424,068","2,857,200","1,530,317","7,405,041","4,972,228","2,432,812","1,364,757","7,029,404","4,737,382","2,292,022","1,293,771","7,080,708","4,278,812","2,801,896","1,303,440","8,353,347","5,511,753","2,841,593","1,535,403","5,891,938","3,281,197","2,610,742","1,082,169","8,563,274","5,559,689","3,003,585","1,572,397","8,512,576","6,057,742","2,454,834","1,557,641","7,051,808","4,745,263","2,306,545","1,288,134","4,440,113","2,802,875","1,637,238","812,178","5,345,564","4,418,171","927,393","977,759",5451720.41,3472500.47,1979219.94,997446.7662
Leisure Centre - Wet - John Smeaton Leisure Centre,1253633,816155,437478,231884.496,"1,175,610",789179,"386,431","217,545","1,262,676","812,530","450,146","233,334","1,253,919","824,049","429,870","231,172","1,100,831","729,383","371,448","203,430","1,133,123","763,512","369,610","208,837","974,961","599,806","375,155","179,452","1,000,937","621,319","379,618","184,259","1,103,420","730,927","372,493","202,817","1,091,785","736,352","355,433","200,481","894,324","564,499","329,826","164,205","1,164,497","749,027","415,470","213,032","990,691","652,856","337,835","180,972","617,710","396,313","221,396","112,991","616,882","302,540","314,342","112,847",729217.86,402445.29,326772.57,133417.6997
Leisure Centre - Wet - Kippax Leisure Centre,"1,606,468","1,069,071","537,397","297,148","1,385,253","884,545","500,708","256,350","1,692,174","1,098,830","593,344","312,713","1,470,979","1,031,817","439,162","271,129","1,448,992","914,723","534,269","267,745","1,555,965","1,012,096","543,870","286,751","1,578,909","1,053,489","525,421","290,602","1,328,198","827,166","501,031","244,504","1,358,362","930,060","428,302","249,692","1,548,207","1,038,325","509,882","284,295","1,293,629","814,329","479,300","237,519","1,147,445","984,798","162,647","210,065","783,116","412,631","370,485","143,094","501,213","132,320","368,893","91,676","790,693","584,437","206,256","144,630",709342.63,281967.58,427375.05,129781.3276
Leisure Centre - Wet - Kirkstall Leisure Centre,2038367,1362708,675659,377036.744,1803112.69,1203232,599880.69,333665.7256,2266037.41,1539611.83,726425.58,418842.8708,1957987.79,1380413.16,577574.63,360886.9517,1758239.47,1144979.59,613259.88,324906.098,1726850.64,1148995.45,577855.19,318255.7271,1619811.99,1147310.91,472501.08,298119.2406,1366414.16,889820.83,476593.33,251547.0626,"1,077,387","813,901","263,486","198,077","1,319,877","902,967","416,910","242,361","1,085,723","663,712","422,011","199,332","1,488,733","1,001,331","487,402","272,374","1,358,016","938,543","419,473","248,055","750,716","367,725","382,990","137,317","905,305","552,140","353,165","165,601",1287232.73,797678.62,489554.11,235512.1003
Leisure Centre - Wet - Pudsey Leisure Centre,1138758,722275,416483,210636.0673,1189500.42,779002,410498.42,220120.4123,1239959.22,796902.99,443056.23,229134.4713,1192016.72,806701.48,385315.24,219738.2574,1183511.11,772045.68,411465.43,218702.4064,1115535.15,735279.74,380255.41,205588.1336,1177762.06,787624.66,390137.4,216769.6912,1060561.14,664155.19,396405.95,195236.3077,"1,202,113","814,510","387,603","220,966","1,347,336","900,905","446,431","247,410","1,053,037","663,349","389,688","193,345","1,283,985","912,275","371,710","234,944","1,556,587","1,067,519","489,068","284,330","1,465,535","1,063,346","402,189","268,077","807,251","799,298","7,952","147,647",607.41,607.41,0,111.1317336
Leisure Centre - Wet - Rothwell Leisure Centre,1922873,1133090,789783,355673.8188,1922876.58,1221627,701249.58,355842.7809,2153122.93,1395039.25,758083.68,397892.94,2401891.27,1619972.9,781918.37,442773.6015,2286454.01,1383283.19,903170.82,422459.9034,2242109.5,1457883.04,784226.46,413201.7001,2212441.49,1268939.03,943502.46,407239.9207,2141085.53,1241236.08,899849.45,394127.2927,"2,122,861","1,457,850","665,012","390,222","1,551,069","1,415,777","135,292","284,685","1,354,247","632,093","722,154","248,493","2,008,542","1,341,941","666,602","367,471","1,839,197","1,348,318","490,879","335,918","1,354,761","735,739","619,022","247,807","1,227,064","550,091","676,973","224,471",1541047.16,1047060.11,493987.05,281949.9884
Leisure Centre - Wet - Scott Hall Leisure Centre,0,0,0,0,"629,625",0,"629,625","116,613","2,012,231","1,386,590","625,641","371,953","1,840,758","1,245,173","595,585","339,329","1,748,407","1,222,953","525,454","323,133","1,895,311","1,276,530","618,781","349,310","1,852,481","1,319,258","533,223","340,940","1,557,115","1,006,607","550,508","286,652","1,611,627","1,052,270","559,357","296,223","1,768,579","1,251,032","517,547","324,738","1,370,023","853,074","516,949","251,539","1,679,790","1,157,543","522,247","307,347","1,540,736","1,068,592","472,144","281,430","1,447,188","882,925","564,263","264,716","1,425,369","974,852","450,517","260,727",1313717.65,749777.42,563940.23,240357.7812
Leisure Centre - Wet - Wetherby Leisure Centre,"1,432,628","863,183","569,445","264,993","1,418,869","927,459","491,410","262,566","2,014,174","1,365,895","648,279","372,287","1,861,662","1,315,703","545,960","343,130","1,729,535","1,188,849","540,686","319,634","1,762,066","1,231,031","531,035","324,772","1,576,791","1,137,359","439,432","290,198","1,487,441","924,271","563,170","273,818","1,663,633","1,156,873","506,760","305,814","1,333,210","960,033","373,177","244,792","1,471,368","968,329","503,038","270,183","1,707,676","1,290,839","416,837","312,520","1,434,249","986,075","448,175","261,982","986,216","555,369","430,847","180,395","1,504,438","811,590","692,848","275,203",424692.89,424692.89,0,77701.81115
Leisure Centres - PFI - Wet - Armley Leisure Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"513,035","123,126","389,909","94,203","1,309,294","888,469","420,826","240,420","1,134,353","695,757","438,596","208,262","1,511,512","987,261","524,251","276,523","1,355,647","927,234","428,413","247,626","1,421,941","955,776","466,165","260,101","1,635,510","1,123,817","511,694","299,166",1533198.28,1055986.56,477211.72,280513.9573
Leisure Centres - PFI - Wet - Holt Park Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"661,139","151,704","509,435","121,394","1,572,462","1,010,655","561,807","288,765","1,198,331","814,516","383,815","220,065","48,190","45,387","2,803","8,825","1,261,598","826,122","435,476","230,461","1,299,325","945,110","354,214","237,674","1,434,067","942,554","491,513","262,320",1326785.61,830719.74,496065.87,242748.6952
Leisure Centres - PFI - Wet - Morley Leisure Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570108.28,151058.14,419050.14,104688.5466,1421237.53,936395.37,484842.16,260985.8423,1626066.32,970685.71,655380.61,298519.494,2192797.26,1460484.87,732312.39,401178.7125,1716877.44,1186310.06,530567.38,313605.1594,1357606.8,870891.86,486714.94,248331.4753,1487078.92,1109130.01,377948.91,272009.4114,1324379.86,848424.84,475955.02,242308.5392
Library - Ardsley and Tingley,"25,129","12,789","12,340","4,648","19,120","8,472","10,648","3,539","29,823","16,493","13,330","5,508","26,026","14,368","11,658","4,801","22,524","12,350","10,175","4,161","31,704","19,637","12,068","5,842","27,261","16,044","11,217","5,018","24,230","11,803","12,427","4,460","23,713","15,288","8,425","4,358","11,120","2,567","8,553","2,044","14,302","8,705","5,597","2,626","40,712","7,928","32,784","7,436","18,214","9,875",8338.2,"3,328",26139.82,13214.86,12924.96,4781.355333,28979.86,15653.86,13326,5301.215954,22052.9,13133.51,8919.39,4034.798584
Library - Boston Spa Branch,"24,425","17,347","7,078","4,518","30,464","22,083","8,381","5,637","34,396","23,485","10,911","6,358","19,866","11,397","8,470","3,664","18,566","9,934","8,632","3,430","30,277","18,592","11,685","5,579","29,433","22,018","7,416","5,417","30,491","14,680","15,811","5,612","33,504","21,451","12,053","6,158","12,595","7,635","4,960","2,313","26,634","10,788","15,846","4,886","23,217","12,722","10,496","4,246","10,679","6,299","4,379","1,951","32,969","21,489","11,480","6,031","28,269","15,075","13,194","5,171",25615.31,12259.18,13356.13,4686.577118
Library - Bramley,"221,942","100,503","121,439","41,053","182,367","92,697","89,670","33,754","236,483","136,323","100,160","43,682","220,383","130,711","89,671","40,643","192,605","100,999","91,607","35,579","195,085","101,217","93,868","35,941","182,721","103,556","79,164","33,633","126,616","52,833","73,783","23,303","129,017","67,848","61,170","23,706","108,229","55,064","53,165","19,880","126,786","54,383","72,403","23,261","144,102","69,772","74,329","26,348","123,805","61,622","62,182","22,623","131,094","63,327","67,767","23,979","129,926","67,068","62,858","23,767",113664.56,49527.3,64137.26,20796.0679
Library - Chapel Allerton,"90,097","37,413","52,684","16,665","76,124","35,201","40,923","14,090","79,590","42,043","37,547","14,697","82,070","42,504","39,566","15,141","50,509","22,483","28,026","9,328","61,357","27,884","33,473","11,302","61,779","34,702","27,077","11,372","60,059","22,866","37,193","11,053","58,609","30,436","28,173","10,769","63,347","34,244","29,103","11,635","69,191","40,418","28,772","12,702","67,851","23,943","43,908","12,400","56,774","29,353","27,421","10,374","55,647","31,876","23,770","10,179","63,642","35,914","27,728","11,642",58322.8,30255.76,28067.04,10670.73949
Library - Compton Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Library - Crossgates,"228,620","117,173","111,447","42,288","177,050","83,981","93,069","32,771","228,117","116,416","111,701","42,119","258,989","136,234","122,756","47,779","192,542","100,028","92,515","35,567","185,412","94,471","90,941","34,158","199,036","114,013","85,023","36,636","164,576","66,485","98,091","30,289","189,768","99,194","90,574","34,869","202,074","109,954","92,119","37,116","205,386","100,558","104,828","37,690","223,198","130,700","92,498","40,824","27,810","27,810",0,"5,076",0,0,0,0,0,0,0,0,0,0,0,0
Library - Farsley,"40,273","19,468","20,805","7,449","30,484","22,292","8,192","5,641","24,649","10,982","13,666","4,549","22,864","15,149","7,715","4,215","22,044","11,661","10,384","4,072","29,599","17,146","12,453","5,454","24,490","11,475","13,015","4,508","25,999","12,034","13,965","4,785","28,383","16,435","11,948","5,216","29,557","16,617","12,940","5,429","30,605","17,574","13,031","5,618","25,609","16,622","8,987","4,685","25,294","11,217","14,077","4,623","24,091","10,890","13,200","4,407","25,272","11,343","13,930","4,623",25140.7,9797.12,15343.58,4599.742472
Library - Gildersome Library and Meeting Hall,"136,221","78,359","57,862","25,197","72,215","47,533","24,682","13,364","39,920","14,653","25,267","7,364","56,785","31,887","24,899","10,474","54,103","30,219","23,884","9,995","55,494","32,940","22,554","10,226","66,514","40,868","25,646","12,243","55,496","29,366","26,130","10,215","68,667","44,952","23,715","12,621","97,894","57,318","40,576","17,979","40,448","38,251","2,196","7,436","59,215","46,530","12,685","10,838","66,526","43,711","22,815","12,152","66,828","37,750","29,078","12,224","52,539","30,605","21,934","9,611",44701.38,23018.75,21682.63,8178.564485
Library - Halton,"33,212","20,786","12,426","6,143","25,872","12,374","13,498","4,789","37,366","24,692","12,674","6,906","33,166","22,744","10,423","6,114","35,337","20,638","14,699","6,529","34,624","19,200","15,424","6,379","28,993","16,877","12,116","5,337","26,180","14,125","12,055","4,819","24,192","13,633","10,558","4,446","26,228","15,087","11,141","4,817","35,823","21,814","14,009","6,577","48,485","23,100","25,386","8,865","36,797","19,349","17,448","6,724","38,261","17,613","20,648","6,999","42,853","23,818","19,035","7,839",27138.24,16441.82,10696.42,4965.21239
Library - Kippax ,"65,683","40,570","25,113","12,149","64,341","38,694","25,647","11,907","31,447","14,729","16,718","5,805","70,012","47,884","22,128","12,906","61,638","36,647","24,991","11,388","80,215","52,226","27,989","14,783","42,035","18,721","23,314","7,738","63,329","37,561","25,768","11,658","61,440","36,505","24,935","11,291","60,722","35,066","25,656","11,152","63,122","36,230","26,892","11,587","47,972","24,749","23,223","8,772","44,637","21,064","23,573","8,157","48,866","23,943","24,923","8,938","57,010","32,397","24,613","10,429",47643.43,23772.92,23870.51,8716.841953
Library - Moor Allerton,"217,566","117,946","99,620","40,243","176,568","100,151","76,417","32,678","176,420","92,422","83,998","32,577","194,247","117,180","77,067","35,821","154,149","86,819","67,330","28,478","159,068","92,522","66,545","29,310","142,463","80,032","62,431","26,223","151,112","75,972","75,139","27,814","188,517","119,647","68,870","34,649","158,425","94,787","63,639","29,096","175,904","115,254","60,649","32,300","148,984","95,735","53,249","27,255","163,338","94,350","68,988","29,843","159,854","105,422","54,432","29,240","132,752","80,868","51,884","24,283",124002.36,74348.24,49654.12,22687.47179
Library - Morley,"220,288","121,783","98,505","40,747","147,947","71,263","76,684","27,384","228,518","132,644","95,874","42,212","226,378","140,375","86,003","41,743","186,592","86,396","100,196","34,462","185,560","106,166","79,393","34,191","203,370","113,134","90,236","37,434","200,453","82,968","117,485","36,892","163,702","75,332","88,369","30,075","188,231","102,774","85,457","34,573","222,414","140,622","81,792","40,837","178,902","99,160",79742.29,32718.33802,"162,246","92,524","69,722","29,643","164,045","84,939","79,106","30,006","184,354","104,226","80,128","33,723",146786.3,69715.44,77070.86,26856.02145
