Q1. Do you work for Leeds City Council,Q5. Work Postcode,Q6. Home Postcode,Q7. From home I,Q8. For how many minutes,Q9. To (location),Q10. Then I,Q11. For how many minutes,Q12. To (location),Q13. Then I,Q14. For how many minutes,Q15. To (location),Q16. Then I,Q17. For how many minutes,Q18. To (location),Q19. Then I,Q20. For how many minutes,Q21. To (location),Q22. Then I,Q23. For how many minutes,Q24. To (location),Q25. What was the main mode of transport you used to travel to work today? (Please select the mode of transport used for the longest distance travelled),Q26. On Monday,Q27. On Tuesday,Q28. On Wednesday?,Q29. On Thursday?,Q30. On Friday?,Q31. On Saturday?,Q32. On Sunday?,Q33. How many days a week do you usually work?,"Q34. How many days a week do you commute to your workplace? (i.e. only days you will travel to work, not work from home)",Q35. If you own a car what fuel type does it use?,"Q36. If you own a petrol, diesel or hybrid vehicle what engine size does it have?",Q37. At your usual workplace does your Employer provide you with Car/Van Parking?,Q38. Where do you usually park your Car/Van when you drive to work?,Q39. How much do you pay for parking per day?,"Q40. If you no longer had access to car parking at your usual place of work, what alternatives would you consider? (Please rank each alternative by how likely you think you would be to switch to that method of travel from 1 low likelihood to 5 high likelihood)",Q41 a,Q41 b,Q41 c,Q41 d,Q41 e,Q41 f,Q41 g,Q41 h,Q41 i,Q41 j,Q40 k,Q41. How would you describe your gender?,Q42. What is your age group?,Q43. What is your employment status?
No,LS1 ,LS17,Car/Van (Single Occupant),35,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,1,Fully electric,-,Yes,In a public car park,Don't pay (free),1 low,1 low,1 low,1 low,5 high,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Man,55-64,Working part-time
No,LS1 ,LS24,"Walk, wheel or run",8,The railway station,Train,23,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,1,Fully electric,-,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working part-time
No,LS1 ,LS17,"Walk, wheel or run",5,The bus stop,Bus,25,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol up to 1.4L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,55-64,Working part-time
No,LS1 ,HG5 ,Car/Van (Single Occupant),35,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,1,Petrol,Petrol up to 1.4L,Yes,In a public car park,Don't pay (free),1 low,1 low,4,4,1 low,4,1 low,1 low,1 low,1 low,5 high,1 low,Woman,35-44,Working part-time
No,LS1 ,LS26,Car/Van share (driver),5,The Park & Ride,"Walk, wheel or run",4,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Park and Ride (Bus),Park and Ride (Bus),Park and Ride (Bus),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Diesel,Diesel 1.7-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working part-time
No,LS1 ,YO30,Car/Van Share (passenger),20,The railway station,Train,25,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Work from Home,Train,Train,N/A - Non working day,N/A - Non working day,5,1,Plug-in Hybrid,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),1 low,2,3,5 high,2,4,1 low,1 low,1 low,1 low,5 high,1 low,Man,55-64,Working full-time
No,LS1 ,HG3 ,"Walk, wheel or run",5,The railway station,Train,25,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Car/Van (Single Occupant),Work from Home,Train,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,2,5 high,1 low,1 low,1 low,1 low,3,1 low,Man,35-44,Working full-time
No,ls1 ,dl3 ,Taxi,5,The railway station,Train,60,The railway station,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,N/A - Non working day,Work from Home,Train,Work from Home,Train,N/A - Non working day,N/A - Non working day,4,2,Fully electric,-,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,1 low,5 high,1 low,2,1 low,3,5 high,-,Woman,35-44,Working part-time
No,LS1 ,LS27,"Walk, wheel or run",10,The railway station,Train,10,The railway station,"Walk, wheel or run",4,My place of work,-,-,-,-,-,-,-,-,-,Train,Train,Train,Work from Home,Work from Home,Train,N/A - Non working day,N/A - Non working day,5,3,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Working full-time
No,LS1 ,YO24,"Walk, wheel or run",10,The railway station,Train,25,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Work from Home,Work from Home,Train,N/A - Non working day,N/A - Non working day,5,1,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS12,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS1 ,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS11,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Apprenticeship/training
No,LS1 ,LS7 ,"Walk, wheel or run",8,The bus stop,Bus,25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Bus,Bus,Bus,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,LS28,"Walk, wheel or run",1,The bus stop,Bus,40,The bus stop,"Walk, wheel or run",12,My place of work,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Bus,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,In a public car park,Between £5-£10,1 low,1 low,2,2,5 high,5 high,-,3,-,-,3,-,Woman,25-34,Working full-time
No,LS1 ,LS25,Bus,60,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Bus,Work from Home,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS17,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Car/Van Share (Passenger),Bus,Bus,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Plug-in Hybrid,Petrol more than 2.0L,Yes,In another private car park,Don't pay (free),-,4,1 low,1 low,5 high,1 low,1 low,1 low,1 low,3,1 low,1 low,Man,25-34,Working full-time
No,LS1 ,WF17,Car/Van (Single Occupant),25,Pick up/drop off children,Car/Van (Single Occupant),25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Self-charging hybrid,-,Yes,In another private car park,Don't pay (free),1 low,1 low,4,4,1 low,1 low,1 low,1 low,1 low,1 low,4,-,Woman,45-54,Working full-time
No,LS1 ,WF1 ,Car/Van (Single Occupant),20,The Park & Ride,Bus,10,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In a public car park,Don't pay (free),-,-,5 high,-,-,4,-,-,-,-,-,-,Woman,55-64,Working full-time
No,LS1 ,LS24,Car/Van (Single Occupant),40,Car Park,"Walk, wheel or run",3,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,Yes,In another private car park,Don't pay (free),1 low,1 low,2,1 low,2,2,1 low,1 low,1 low,1 low,2,1 low,Man,45-54,Working full-time
No,LS1 ,YO7 ,Car/Van (Single Occupant),60,Car Park,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,7,1,Petrol,Petrol more than 2.0L,No,In a public car park,More than £10,1 low,1 low,5 high,1 low,1 low,3,-,1 low,1 low,1 low,1 low,1 low,Man,45-54,Working full-time
No,LS1 ,LS11,Car/Van (Single Occupant),10,Car Park,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,N/A - Non working day,5,1,Fully electric,-,Yes,In a public car park,"Free for me, company pays",-,-,-,-,5 high,-,-,1 low,-,-,5 high,-,Man,55-64,Working full-time
No,ls1 ,LS16,Car/Van (Single Occupant),25,Car Park,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van Share (Driver),Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel more than 2.0L,Yes,In another private car park,Don't pay (free),-,-,-,-,5 high,-,-,4,-,-,5 high,-,Woman,35-44,Working full-time
No,LS1 ,WF4 ,Car/Van share (driver),30,Car Park,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Car/Van Share (Driver),Work from Home,Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,3,Diesel,Diesel 1.7-2.0L,Yes,In another private car park,Don't pay (free),1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,1 low,5 high,1 low,Man,25-34,Working full-time
No,LS1 ,BD6 ,Car/Van (Single Occupant),60,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Car/Van Share (Driver),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In a public car park,More than £10,1 low,1 low,4,4,1 low,4,1 low,1 low,1 low,1 low,5 high,1 low,Woman,55-64,Working full-time
No,LS1 ,WF11,Car/Van share (driver),20,The Park & Ride,"Walk, wheel or run",2,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Park and Ride (Bus),Park and Ride (Bus),Work from Home,Work from Home,Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,16-24,Working full-time
No,LS1 ,S75 ,Motorcycle,20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Motorcycle,Motorcycle,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,45-54,Working full-time
No,LS1 ,LS28,Car/Van (Single Occupant),5,The railway station,Train,12,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Train,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,4,Petrol,Petrol up to 1.4L,No,In a public car park,Don't pay (free),-,-,-,-,5 high,5 high,-,-,-,-,5 high,-,Woman,55-64,Working full-time
No,LS1 ,BL8 ,Bus,60,The railway station,Train,60,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,Train,Work from Home,Work from Home,Train,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel 1.7-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,M3 7,Train,90,The railway station,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,In a public car park,More than £10,-,-,-,-,-,5 high,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,BD20,"Walk, wheel or run",15,The railway station,Train,35,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,LS25,"Walk, wheel or run",10,The railway station,Train,20,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Train,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS1 ,LS11,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run","Walk, wheel or run",Work from Home,N/A - Non working day,N/A - Non working day,5,4,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,16-24,Apprenticeship/training
No,LS1 ,LS1 ,"Walk, wheel or run",8,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run",Work from Home,Work from Home,Work from Home,"Walk, wheel or run",Work from Home,N/A - Non working day,N/A - Non working day,5,1,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,35-44,Working full-time
No,LS1 ,LS17,Bus,45,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Bus,Work from Home,Bus,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Prefer not to say,Prefer not to say,Working full-time
No,LS1 ,LS16,Car/Van (Single Occupant),45,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Plug-in Hybrid,Petrol 1.4-2.0L,Yes,In the workplace car park,Don't pay (free),1 low,1 low,1 low,1 low,4,1 low,4,1 low,1 low,1 low,1 low,1 low,Woman,45-54,Working full-time
No,LS1 ,WF4 ,Car/Van share (driver),40,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Driver),Car/Van Share (Driver),Work from Home,Car/Van Share (Driver),Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Diesel,Diesel more than 2.0L,No,In a public car park,Between £5-£10,1 low,1 low,3,1 low,2,4,1 low,1 low,1 low,1 low,5 high,1 low,Woman,45-54,Working full-time
No,LS1 ,S42 ,Car/Van (Single Occupant),60,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Car/Van (Single Occupant),Work from Home,N/A - Non working day,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,4,1,Diesel,Diesel 1.7-2.0L,No,In a public car park,Between £5-£10,1 low,1 low,1 low,1 low,1 low,3,1 low,1 low,1 low,1 low,5 high,1 low,Woman,25-34,Working part-time
No,LS1 ,YO19,Car/Van share (driver),15,The railway station,Train,25,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,N/A - Non working day,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,4,1,Plug-in Hybrid,Petrol 1.4-2.0L,No,In a public car park,More than £10,-,-,-,-,4,5 high,-,-,-,-,5 high,-,Woman,35-44,Working part-time
No,LS1 ,LS14,Car/Van (Single Occupant),5,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Work from Home,Train,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,No,In another private car park,More than £10,1 low,3,1 low,3,3,3,1 low,1 low,1 low,1 low,1 low,1 low,Woman,35-44,Working full-time
No,LS1 ,LS25,Train,25,The railway station,"Walk, wheel or run",3,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Train,Train,Work from Home,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS16,Car/Van Share (passenger),5,The railway station,Train,15,The railway station,"Walk, wheel or run",3,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Train,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Fully electric,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS17,Car/Van (Single Occupant),20,Car Park,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Other,Park and Ride (Rail),Park and Ride (Rail),"Walk, wheel or run",Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,Yes,In a public car park,Don't pay (free),-,-,-,-,2,-,-,4,-,-,5 high,-,Man,45-54,Working full-time
No,LS1 ,LS18,Car/Van Share (passenger),20,Car Park,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van Share (Passenger),Car/Van Share (Passenger),Car/Van Share (Passenger),Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Fully electric,-,No,In a public car park,Between £5-£10,1 low,1 low,4,2,4,4,3,1 low,1 low,1 low,5 high,1 low,Woman,25-34,Working full-time
No,LS1 ,LS16,"Walk, wheel or run",4,The railway station,Train,12,The railway station,"Walk, wheel or run",4,My place of work,-,-,-,-,-,-,-,-,-,Train,Train,Train,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Plug-in Hybrid,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,S64 ,Car/Van share (driver),5,The railway station,Train,50,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Train,Train,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,4,Diesel,Diesel 1.7-2.0L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,16-24,Apprenticeship/training
No,LS1 ,LS6 ,"Walk, wheel or run",30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Train,Work from Home,Train,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,0,Fully electric,-,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,LS1 ,bd17,"Walk, wheel or run",30,The railway station,Train,15,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS1 ,WF17,Bus,50,The bus stop,"Walk, wheel or run",15,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Bus,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol 1.4-2.0L,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Prefer not to say,35-44,-
No,ls1 ,wf1 ,Car/Van (Single Occupant),20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Car/Van (Single Occupant),Car/Van (Single Occupant),Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,Yes,In the workplace car park,Don't pay (free),-,-,-,-,2,5 high,-,-,-,-,-,-,Man,55-64,Working full-time
No,LS1 ,BD18,Car/Van Share (passenger),15,The railway station,Train,20,The railway station,"Walk, wheel or run",7,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Self-charging hybrid,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS1 ,LS22,Motorcycle,30,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,55-64,Working full-time
No,ls1 ,wf11,Train,60,The railway station,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,0,Self-charging hybrid,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Prefer not to say,Prefer not to say,Working full-time
No,LS1 ,YO24,"Walk, wheel or run",15,The railway station,Train,30,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,1,Self-charging hybrid,Petrol 1.4-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,35-44,Working full-time
No,ls1 ,ls26,Work from Home (Full time),0,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,5,0,Petrol,Petrol up to 1.4L,No,On the Street,Between £5-£10,-,-,-,-,-,5 high,-,-,-,-,-,-,Woman,45-54,Working full-time
No,LS1 ,WF10,"Walk, wheel or run",15,The bus stop,"Walk, wheel or run",10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Bus,Work from Home,Bus,Bus,Bus,Work from Home,Work from Home,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,LS1 ,HG2 ,"Walk, wheel or run",15,The railway station,Train,30,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Train,Work from Home,Train,Work from Home,Work from Home,Work from Home,5,2,Petrol,Petrol up to 1.4L,Yes,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,ls1 ,hd5,Work from Home (Full time),1,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,Work from Home,N/A - Non working day,N/A - Non working day,4,0,Petrol,Petrol up to 1.4L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working part-time
No,LS11,LS14,Cycle,10,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cycle,Work from Home,Work from Home,Cycle,Cycle,Work from Home,N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Man,25-34,Working full-time
No,ls14,hg28,"Walk, wheel or run",15,The railway station,Train,30,The railway station,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,N/A - Non working day,Work from Home,Train,N/A - Non working day,N/A - Non working day,N/A - Non working day,3,1,Diesel,Diesel 1.7-2.0L,No,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,45-54,Working part-time
No,LS14,LS23,Car/Van (Single Occupant),25,The Park & Ride,Bus,10,The bus stop,"Walk, wheel or run",5,My place of work,-,-,-,-,-,-,-,-,-,Park and Ride (Bus),Work from Home,Park and Ride (Bus),Park and Ride (Bus),Work from Home,N/A - Non working day,N/A - Non working day,N/A - Non working day,4,2,Petrol,Petrol up to 1.4L,Yes,In a public car park,Don't pay (free),-,-,5 high,3,4,-,-,-,-,-,-,-,Woman,45-54,Working part-time
No,LS14,BD17,"Walk, wheel or run",8,The railway station,Train,15,The railway station,"Walk, wheel or run",4,My place of work,-,-,-,-,-,-,-,-,-,Train,Train,Train,Train,Train,Train,N/A - Non working day,N/A - Non working day,5,5,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Prefer not to say,Prefer not to say,Working full-time
No,LS14,LS14,"Walk, wheel or run",20,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Walk, wheel or run",Work from Home,Work from Home,Work from Home,"Walk, wheel or run","Walk, wheel or run",N/A - Non working day,N/A - Non working day,5,2,Petrol,Petrol up to 1.4L,Don't Know,I do not drive to work,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
No,LS14,LS64,"Walk, wheel or run",10,The bus stop,Bus,25,My place of work,-,-,-,-,-,-,-,-,-,-,-,-,Work from Home,Work from Home,Work from Home,Bus,Bus,Work from Home,N/A - Non working day,N/A - Non working day,5,2,I do not own a car,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Woman,25-34,Working full-time
